time,RA,DEC,AZ,D(east),I(down), H,X (north),Y (east),Z (down),F(total)
88.81,96.728,-24.7692,138.1117,7.929912962,59.8620526013,22608.0188929,22391.831323,3119.03963812,38941.4136014,45028.3933928
88.83,96.7262,-24.758,139.6243,7.92978659412,59.8620566917,22607.1603404,22390.9878592,3118.87180668,38939.9411811,45026.6889505
88.85,96.726,-24.7467,141.0858,7.92979309581,59.8621199581,22607.1365669,22390.9639591,3118.87106774,38939.9992572,45026.7272396
88.87,96.7281,-24.7356,142.586,7.92979309581,59.8621199581,22607.1365669,22390.9639591,3118.87106774,38939.9992572,45026.7272396
88.89,96.7299,-24.7245,144.1085,7.92967328353,59.8621873114,22606.2546045,22390.0969518,3118.70257224,38938.5855262,45025.0617992
88.91,96.7347,-24.7133,145.6155,7.92967328353,59.8621873114,22606.2546045,22390.0969518,3118.70257224,38938.5855262,45025.0617992
88.93,96.7395,-24.702,147.0784,7.92954659948,59.8621915675,22605.3966112,22389.2540577,3118.53470177,38937.1143198,45023.3586875
88.95,96.7468,-24.6905,148.5296,7.92955338313,59.8622575843,22605.3718058,22389.2291203,3118.53393056,38937.174916,45023.398638
88.97,96.7537,-24.6792,150.0067,7.92955338313,59.8622575843,22605.3718058,22389.2291203,3118.53393056,38937.174916,45023.398638
88.99,96.7636,-24.6678,151.5116,7.92943693315,59.8623235572,22604.4909546,22388.3630294,3118.36690945,38935.7609229,45021.7335291
89.01,96.7734,-24.656,153.0053,7.92943693315,59.8623235572,22604.4909546,22388.3630294,3118.36690945,38935.7609229,45021.7335291
89.03,96.786,-24.6439,154.4607,7.92930748005,59.8623290094,22603.633153,22387.5204747,3118.1979908,38934.2919102,45020.0324107
89.05,96.7981,-24.6317,155.8992,7.92931388616,59.8623913582,22603.6097273,22387.4969244,3118.1972623,38934.3491352,45020.0701386
89.07,96.8132,-24.6187,157.373,7.92931388616,59.8623913582,22603.6097273,22387.4969244,3118.1972623,38934.3491352,45020.0701386
89.09,96.8285,-24.6065,158.8594,7.92919422567,59.862462538,22602.7275692,22386.6297125,3118.02881365,38932.9410238,45018.4094602
89.11,96.8461,-24.5928,160.3301,7.92919422567,59.862462538,22602.7275692,22386.6297125,3118.02881365,38932.9410238,45018.4094602
89.13,96.8642,-24.5796,161.7603,7.92907099702,59.8624654081,22601.8713049,22385.7883404,3117.86254652,38931.4706096,45016.7079017
89.15,96.8841,-24.5651,163.1847,7.92907749666,59.8625286735,22601.8475364,22385.7644455,3117.86180718,38931.5286714,45016.7461813
89.17,96.9049,-24.5505,164.6365,7.92907749666,59.8625286735,22601.8475364,22385.7644455,3117.86180718,38931.5286714,45016.7461813
89.19,96.9274,-24.5353,166.1074,7.92895784981,59.8625950914,22600.9676774,22384.8995089,3117.69368824,38930.1170526,45015.0836241
89.21,96.9506,-24.5198,167.5627,7.92895784981,59.8625950914,22600.9676774,22384.8995089,3117.69368824,38930.1170526,45015.0836241
89.23,96.9752,-24.5035,168.9916,7.92883185212,59.8625991576,22600.1116044,22384.0584758,3117.52637293,38928.6488315,45013.3840583
89.25,97.0014,-24.487,170.4089,7.92883797432,59.8626587551,22600.0892154,22384.0359677,3117.52567632,38928.7035228,45013.4201157
89.27,97.0279,-24.4694,171.8571,7.92883797432,59.8626587551,22600.0892154,22384.0359677,3117.52567632,38928.7035228,45013.4201157
89.29,97.0567,-24.4517,173.3147,7.92872176771,59.8627285483,22599.2087895,22383.1702811,3117.35883039,38927.2961937,45011.7609838
89.31,97.0856,-24.4337,174.7562,7.92872176771,59.8627285483,22599.2087895,22383.1702811,3117.35883039,38927.2961937,45011.7609838
