# Time,nT,Gauss
8.965000000000000568e+01, -1.389799808591737929e+04, -1.389799808591737906e-01
8.967000000000000171e+01, -1.401134562741852278e+04, -1.401134562741852274e-01
8.968999999999999773e+01, -1.413802904813788336e+04, -1.413802904813788452e-01
8.970999999999999375e+01, -1.427935305392981172e+04, -1.427935305392981358e-01
8.973000000000000398e+01, -1.443370989197338349e+04, -1.443370989197338417e-01
8.975000000000000000e+01, -1.459809136546613627e+04, -1.459809136546613706e-01
8.976999999999999602e+01, -1.477161809789612562e+04, -1.477161809789612756e-01
8.979000000000000625e+01, -1.495725333913298346e+04, -1.495725333913298372e-01
8.981000000000000227e+01, -1.515878426244061302e+04, -1.515878426244061383e-01
8.982999999999999829e+01, -1.537362250651570139e+04, -1.537362250651570228e-01
8.984999999999999432e+01, -1.559550999568972657e+04, -1.559550999568972696e-01
8.987000000000000455e+01, -1.582588342981170717e+04, -1.582588342981170737e-01
8.989000000000000057e+01, -1.606458916891726039e+04, -1.606458916891726207e-01
8.990999999999999659e+01, -1.631757420928895954e+04, -1.631757420928895974e-01
8.993000000000000682e+01, -1.658930261413310654e+04, -1.658930261413310847e-01
8.995000000000000284e+01, -1.686947657534653263e+04, -1.686947657534653422e-01
8.996999999999999886e+01, -1.715395160004371792e+04, -1.715395160004371811e-01
8.998999999999999488e+01, -1.744413237066457441e+04, -1.744413237066457512e-01
9.001000000000000512e+01, -1.774151745315805601e+04, -1.774151745315805662e-01
9.003000000000000114e+01, -1.805694259826750931e+04, -1.805694259826751136e-01
9.004999999999999716e+01, -1.838532734520379381e+04, -1.838532734520379464e-01
9.006999999999999318e+01, -1.871911108780921859e+04, -1.871911108780922040e-01
9.009000000000000341e+01, -1.905592830736738688e+04, -1.905592830736738963e-01
9.010999999999999943e+01, -1.939671861487064234e+04, -1.939671861487064497e-01
9.012999999999999545e+01, -1.974891958518466708e+04, -1.974891958518466828e-01
9.015000000000000568e+01, -2.011945088558636780e+04, -2.011945088558637074e-01
9.017000000000000171e+01, -2.050270294518265291e+04, -2.050270294518265479e-01
9.018999999999999773e+01, -2.088151162416848092e+04, -2.088151162416848339e-01
9.020999999999999375e+01, -2.126296971609530374e+04, -2.126296971609530628e-01
9.023000000000000398e+01, -2.164508049627212677e+04, -2.164508049627212882e-01
9.025000000000000000e+01, -2.203455003010852670e+04, -2.203455003010852953e-01
9.026999999999999602e+01, -2.244655342902801203e+04, -2.244655342902801276e-01
9.029000000000000625e+01, -2.286547666308658881e+04, -2.286547666308658966e-01
9.031000000000000227e+01, -2.328800922881995939e+04, -2.328800922881996138e-01
9.032999999999999829e+01, -2.370719354716234011e+04, -2.370719354716234184e-01
