time,RA,DEC,AZ
90.73,102.8677,-22.9196,-92.3022
90.75,103.0109,-22.8856,-91.1238
90.77,103.1552,-22.8502,-89.9196
90.79,103.301,-22.8141,-88.7318
90.81,103.4483,-22.7769,-87.5483
90.83,103.5973,-22.7383,-86.3812
90.85,103.7475,-22.6992,-85.2392
90.87,103.8989,-22.6577,-84.0925
90.89,104.0523,-22.6166,-82.9251
90.91,104.206,-22.5732,-81.7585
90.93,104.3625,-22.5294,-80.5956
90.95,104.5187,-22.4844,-79.4465
90.97,104.6772,-22.4375,-78.3134
90.99,104.8369,-22.3901,-77.1963
91.01,104.997,-22.3414,-76.0731
91.03,105.1601,-22.2914,-74.9272
91.05,105.3225,-22.2406,-73.7796
91.07,105.4879,-22.1888,-72.6427
91.09,105.6531,-22.1357,-71.5303
91.11,105.8211,-22.0828,-70.4192
91.13,105.9891,-22.0265,-69.3347
91.15,106.1595,-21.971,-68.2278
91.17,106.329,-21.9126,-67.1092
91.19,106.5016,-21.8534,-65.9736
91.21,106.6733,-21.7937,-64.8699
91.23,106.8491,-21.7331,-63.7776
91.25,107.024,-21.6719,-62.6956
91.27,107.2018,-21.6093,-61.6281
91.29,107.3798,-21.546,-60.5631
91.31,107.5604,-21.4822,-59.463
91.33,107.7414,-21.4185,-58.3635
91.35,107.9251,-21.3536,-57.2873
91.37,108.1101,-21.2904,-56.1985
91.39,108.2961,-21.224,-55.1272
91.41,108.4849,-21.1593,-54.0939
91.43,108.6736,-21.0933,-53.0508
91.45,108.8659,-21.0272,-51.9652
91.47,109.0573,-20.9602,-50.8893
91.49,109.2523,-20.8931,-49.8155
91.51,109.4467,-20.8238,-48.7553
91.53,109.6439,-20.7559,-47.7094
91.55,109.8417,-20.6852,-46.6912
91.57,110.0424,-20.616,-45.6456
91.59,110.243,-20.5446,-44.6008
91.61,110.4466,-20.4728,-43.5434
91.63,110.65,-20.4007,-42.505
91.65,110.8563,-20.3275,-41.4535
91.67,111.0632,-20.2536,-40.4181
91.69,111.2712,-20.1792,-39.3915
91.71,111.4814,-20.103,-38.397
91.73,111.6913,-20.027,-37.3964
91.75,111.9043,-19.949,-36.3591
91.77,112.1172,-19.8712,-35.3088
91.79,112.3336,-19.7926,-34.2818
91.81,112.5489,-19.7124,-33.2666
91.83,112.7682,-19.6318,-32.2516
91.85,112.9866,-19.5503,-31.248
91.87,113.209,-19.4675,-30.2647
91.89,113.4303,-19.3845,-29.291
91.91,113.6552,-19.2997,-28.2822
91.93,113.8796,-19.2148,-27.2609
91.95,114.1073,-19.1286,-26.2532
91.97,115.4948,-18.5904,-20.3653
92.09,115.7312,-18.4969,-19.3744
92.11,115.9683,-18.4026,-18.3929
92.13,116.2072,-18.3061,-17.3982
92.15,116.4465,-18.2098,-16.4323
92.17,116.6882,-18.1109,-15.4817
92.19,116.9294,-18.0119,-14.5399
92.21,117.1733,-17.9111,-13.5946
92.23,117.4166,-17.8092,-12.6128
92.25,117.6615,-17.7059,-11.6298
92.27,117.905,-17.6032,-10.6826
92.29,118.1486,-17.4986,-9.7396
92.31,118.3897,-17.3961,-8.7925
92.33,118.6301,-17.2931,-7.852
92.35,118.8683,-17.1909,-6.9319
92.37,119.1059,-17.0889,-6.0134
92.39,119.3416,-16.9874,-5.0886
92.41,119.5762,-16.8862,-4.1577
92.43,119.809,-16.7856,-3.2336
92.45,120.0402,-16.6857,-2.3062
92.47,120.2705,-16.5862,-1.3818
92.49,120.499,-16.4877,-0.4517
92.51,120.7262,-16.3885,0.4476
92.53,120.9519,-16.2919,1.3297
92.55,121.1766,-16.1935,2.21
92.57,121.3992,-16.0986,3.1016
92.59,121.6217,-16.0013,4.0009
92.61,121.8406,-15.9068,4.8929
92.63,122.0608,-15.8112,5.7794
92.65,122.2779,-15.7176,6.6722
92.67,122.4946,-15.623,7.5528
92.69,122.7094,-15.53,8.4114
92.71,122.9228,-15.4363,9.2516
92.73,123.1352,-15.3421,10.085
92.75,123.3454,-15.2485,10.9482
92.77,123.5546,-15.1538,11.8194
92.79,123.7622,-15.0607,12.6878
92.81,123.968,-14.9655,13.5202
92.83,124.1719,-14.8728,14.3536
92.85,124.3755,-14.7773,15.1828
92.87,124.5758,-14.6842,16.0101
92.89,124.7762,-14.5889,16.8009
92.91,124.9738,-14.4965,17.6045
92.93,125.1717,-14.4024,18.4151
92.95,125.3675,-14.3115,19.238
92.97,125.5626,-14.2192,20.0586
92.99,125.7562,-14.1291,20.8554
93.01,125.9491,-14.0384,21.644
93.03,126.14,-13.9476,22.4354
93.05,126.3297,-13.8576,23.2202
93.07,126.5182,-13.767,24.0008
93.09,126.7046,-13.6776,24.7496
93.11,126.8903,-13.5875,25.507
93.13,127.0734,-13.4983,26.2645
93.15,127.2564,-13.407,27.0415
93.17,127.4378,-13.3168,27.8241
93.19,127.6188,-13.2234,28.5839
93.21,127.8001,-13.1339,29.3179
93.23,127.9824,-13.0415,30.0641
93.25,128.1647,-12.9522,30.8185
93.27,128.3492,-12.8613,31.5574
93.29,128.5336,-12.7725,32.2889
93.31,128.7197,-12.6833,33.0143
93.33,128.9049,-12.5943,33.7378
93.35,129.0897,-12.5049,34.4746
93.37,129.2741,-12.415,35.2149
93.39,129.4575,-12.325,35.949
93.41,129.6405,-12.2332,36.6624
93.43,129.8238,-12.1419,37.3664
93.45,130.0064,-12.049,38.0739
93.47,130.1899,-11.9574,38.7813
93.49,130.3727,-11.8643,39.4777
93.51,130.5563,-11.7723,40.1697
93.53,130.7396,-11.6792,40.8558
93.55,130.9236,-11.5868,41.545
93.57,131.1076,-11.4927,42.2418
93.59,131.2932,-11.399,42.9543
93.61,131.4784,-11.3037,43.6423
93.63,131.6651,-11.2084,44.3223
93.65,131.8517,-11.1114,44.9956
93.67,132.0397,-11.0139,45.6754
93.69,132.2277,-10.9151,46.3585
93.71,132.4163,-10.8157,47.0395
93.73,132.6054,-10.7161,47.695
93.75,132.7951,-10.6164,48.3371
93.77,132.9852,-10.5172,48.9993
93.79,133.1765,-10.418,49.6818
93.81,133.3681,-10.3194,50.3682
93.83,133.5616,-10.2205,51.0485
93.85,133.7556,-10.1218,51.7037
93.87,133.95,-10.0218,52.3334
93.89,134.1451,-9.9217,52.9682
93.91,134.3407,-9.8199,53.6311
93.93,134.5368,-9.7179,54.3026
93.95,134.7338,-9.6142,54.947
93.97,134.9313,-9.5101,55.5648
93.99,135.1303,-9.405,56.1959
94.01,135.3298,-9.2993,56.8288
94.03,135.5306,-9.1932,57.4765
94.05,135.7323,-9.0864,58.1414
94.07,135.9357,-8.9795,58.7961
94.09,136.1394,-8.8718,59.4161
94.11,136.345,-8.7638,60.0292
94.13,136.5512,-8.6555,60.6641
94.15,136.7588,-8.5464,61.3014
94.17,136.9675,-8.4366,61.9416
94.19,137.1768,-8.3262,62.5638
94.21,137.387,-8.2145,63.1712
94.23,137.5984,-8.1021,63.7872
94.25,137.8099,-7.9892,64.4215
94.27,138.0235,-7.876,65.0596
94.29,138.2376,-7.7616,65.7089
94.31,138.453,-7.6471,66.3479
94.33,138.6698,-7.5313,66.9683
94.35,138.8871,-7.4154,67.5897
94.37,139.106,-7.2984,68.2251
94.39,139.326,-7.1812,68.8576
94.41,139.5467,-7.0631,69.5025
94.43,139.7687,-6.9446,70.1354
94.45,139.9914,-6.8253,70.7484
94.47,140.2151,-6.7055,71.3661
94.49,140.4403,-6.5843,71.9841
94.51,140.6659,-6.4628,72.6239
94.53,140.893,-6.3403,73.266
94.55,141.1205,-6.2174,73.9122
94.57,141.3497,-6.0937,74.5476
94.59,141.5796,-5.9691,75.1821
94.61,141.8106,-5.8437,75.8004
94.63,142.0423,-5.7177,76.4222
94.65,142.2752,-5.591,77.0573
94.67,142.5086,-5.4631,77.6881
94.69,142.7437,-5.3347,78.3072
94.71,142.9786,-5.2051,78.9136
94.73,143.2135,-5.0756,79.5264
94.75,143.4478,-4.9458,80.1594
94.77,143.681,-4.8164,80.7955
94.79,143.913,-4.6876,81.4312
94.81,144.1441,-4.5594,82.0557
94.83,144.374,-4.4318,82.6634
94.85,144.6023,-4.3048,83.2607
94.87,144.8301,-4.1784,83.8689
94.89,145.0559,-4.0525,84.4911
94.91,145.2816,-3.9275,85.1049
94.93,145.5052,-3.8032,85.7032
94.95,145.7284,-3.6796,86.2948
94.97,145.95,-3.5564,86.8966
94.99,146.171,-3.4342,87.5051
95.01,146.3905,-3.3124,88.1251
95.03,146.6094,-3.1918,88.7445
95.05,146.8268,-3.0716,89.3563
95.07,147.0438,-2.952,89.9611
95.09,147.2592,-2.8325,90.5546
95.11,147.4739,-2.7142,91.1527
95.13,147.6875,-2.596,91.7639
95.15,147.9001,-2.4785,92.3798
95.17,148.112,-2.3619,92.9795
95.19,148.3221,-2.2452,93.5628
95.21,148.5322,-2.1299,94.1641
95.23,148.74,-2.015,94.7836
95.25,148.948,-1.9006,95.3997
95.27,149.1541,-1.7875,96.0118
95.29,149.36,-1.6742,96.6181
95.31,149.565,-1.5616,97.2123
95.33,149.7686,-1.4498,97.8027
95.35,149.9718,-1.3385,98.3991
95.37,150.174,-1.2276,99.0015
95.39,150.3748,-1.1174,99.6118
95.41,150.5753,-1.0074,100.2105
95.43,150.7739,-0.8986,100.8024
95.45,150.9726,-0.7898,101.3822
95.47,151.1699,-0.6819,101.9712
95.49,151.366,-0.5742,102.5842
95.51,151.5615,-0.4662,103.203
95.53,151.7557,-0.3594,103.8195
95.55,151.9485,-0.2523,104.418
95.57,152.141,-0.1457,105.0003
95.59,152.3322,-0.0389,105.587
95.61,152.5225,0.0677,106.1753
95.63,152.7117,0.1742,106.7885
95.65,152.8995,0.28,107.3873
95.67,153.0867,0.3859,107.9842
95.69,153.2725,0.491,108.5558
95.71,153.4575,0.5964,109.1425
95.73,153.6412,0.7013,109.7449
95.75,153.8242,0.8045,110.3471
95.77,154.0063,0.9085,110.9617
95.79,154.1883,1.0107,111.567
95.81,154.3684,1.113,112.1536
95.83,154.5481,1.2148,112.7349
95.85,154.7265,1.3165,113.321
95.87,154.904,1.4175,113.9228
95.89,155.0809,1.5182,114.5224
95.91,155.2562,1.6178,115.11
95.93,155.432,1.7169,115.6862
95.95,155.6062,1.8151,116.2744
95.97,155.7799,1.9119,116.8699
95.99,155.9537,2.0092,117.4672
96.01,156.1271,2.1058,118.0688
96.03,156.3013,2.2034,118.6784
96.05,156.4743,2.3009,119.2746
96.07,156.6483,2.3995,119.8542
96.09,156.8212,2.4992,120.4461
96.11,156.9949,2.5985,121.0353
96.13,157.1679,2.6976,121.6391
96.15,157.3427,2.7963,122.2278
96.17,157.5167,2.8937,122.8164
96.19,157.6921,2.9911,123.3916
96.21,157.8674,3.0874,123.9776
96.23,158.0426,3.1846,124.5838
96.25,158.2185,3.2813,125.1876
96.27,158.3926,3.3791,125.7889
96.29,158.5686,3.477,126.3754
96.31,158.7423,3.5757,126.9445
96.33,158.9178,3.6735,127.5273
96.35,159.0922,3.7728,128.1272
96.37,159.2682,3.8705,128.7321
96.39,159.4429,3.9686,129.3147
96.41,159.6196,4.0666,129.8901
96.43,159.7946,4.1642,130.4615
96.45,159.9712,4.2623,131.0494
96.47,160.1465,4.3604,131.6488
96.49,160.3233,4.4587,132.2492
96.51,160.4997,4.557,132.8474
96.53,160.6773,4.656,133.4286
96.55,160.855,4.7555,134.0042
96.57,161.0334,4.8555,134.5758
96.59,161.2126,4.9555,135.1651
96.61,161.392,5.0567,135.7617
96.63,161.5727,5.1576,136.3458
96.65,161.7535,5.2596,136.919
96.67,161.9359,5.3618,137.4818
96.69,162.1176,5.4644,138.0596
96.71,162.3014,5.5678,138.6551
96.73,162.4847,5.6711,139.2524
96.75,162.6699,5.7748,139.8529
96.77,162.8549,5.8784,140.4368
96.79,163.0424,5.9818,141.0134
96.81,163.2292,6.0852,141.5863
96.83,163.418,6.1884,142.1671
96.85,163.607,6.2911,142.7541
96.87,163.7974,6.394,143.3301
96.89,163.9874,6.497,143.8858
96.91,164.1792,6.6005,144.4526
96.93,164.3703,6.7049,145.0301
96.95,164.563,6.8093,145.6123
96.97,164.756,6.9144,146.2046
96.99,164.9497,7.02,146.7984
97.01,165.145,7.1254,147.3714
97.03,165.3407,7.231,147.93
97.05,165.5374,7.3371,148.5017
97.07,165.7349,7.4434,149.0765
97.09,165.9335,7.5496,149.6664
97.11,166.1328,7.6565,150.2497
97.13,166.3336,7.7629,150.8102
97.15,166.5344,7.8704,151.3647
97.17,166.7372,7.9773,151.9207
97.19,166.9397,8.0845,152.5003
97.21,167.1443,8.1925,153.085
97.23,167.349,8.2998,153.6676
97.25,167.5552,8.4081,154.2564
97.27,167.7622,8.5163,154.8212
97.29,167.97,8.6248,155.3687
97.31,168.1788,8.734,155.9149
97.33,168.3885,8.8428,156.4788
97.35,168.5988,8.9522,157.0647
97.37,168.8103,9.0618,157.6331
97.39,169.0227,9.1712,158.1867
97.41,169.236,9.2817,158.7209
97.43,169.4505,9.3916,159.2896
97.45,169.6656,9.5021,159.8729
97.47,169.8817,9.6131,160.4608
97.49,170.0989,9.7238,161.0452
97.51,170.3173,9.8351,161.6033
97.53,170.5363,9.9469,162.1496
97.55,170.7566,10.0584,162.6969
97.57,170.9773,10.1709,163.2583
97.59,171.1994,10.283,163.8283
97.61,171.422,10.3955,164.3862
97.63,171.646,10.5086,164.9276
97.65,171.8708,10.6214,165.4687
97.67,172.0963,10.7347,166.0241
97.69,172.3229,10.8483,166.5946
97.71,172.5504,10.9621,167.1664
97.73,172.7787,11.0766,167.7364
97.75,173.0082,11.191,168.2877
97.77,173.2383,11.3056,168.8285
97.79,173.4695,11.4209,169.3526
97.81,173.7012,11.5358,169.8949
97.83,173.9327,11.652,170.455
97.85,174.1648,11.7679,171.0008
97.87,174.3954,11.8831,171.5179
97.89,174.6262,11.9993,172.0366
97.91,174.8559,12.1128,172.5693
97.93,175.0859,12.2274,173.1128
97.95,175.3143,12.3399,173.6625
97.97,175.5435,12.4518,174.2077
97.99,175.7712,12.5627,174.7479
98.01,175.9989,12.6734,175.2609
98.03,176.2257,12.782,175.759
98.05,176.4522,12.8917,176.2652
98.07,176.678,12.999,176.7924
98.09,176.9039,13.1074,177.3342
